"# of Use","# de uso"
"%1$s incl tax.","%1$ incluido taxas."
"%s - %s","%s - %s"
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(copiar datos desde: %s)"
"Visible on Catalog Pages on Front-end","Visible en las páginas del catálogo en el Front-end"
"Visible on Product View Page on Front-end","El producto es visible en la parte pública"
"Watermark","Marca de agua"
"Watermark Default Size","Tamaño por defecto de la marca de agua"
"Watermark Position","Posición de la marca de agua"
"We Also Recommend","También recomendamos"
"Web Site Item Must be checked","El sitio web debe ser comprobado"
"Web Site Store Must be checked","El sitio Web de la tienda debe ser verificado"
"Website","Sitio web"
"Websites","Sitios web"
"Wrong BuyRequest instance in options group","Error en la solicitud de compra"
"Wrong option instance type in options group","Opción erronea en las opciones del grupo"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Error en el producto en las opciones de grupo"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Rango de año"
"Yes","Sí"
"Yes/No","Si/No"
"You cannot delete this attribute","No puede borrar este atributo"
"You cannot edit this attribute","No puede editar este atributo"
"You cannot remove system attribute from this set.","No puede quitar este atributo de este conjunto."
"You cannot update this attribute","No puede actualizar este atributo"
"You have no items to compare.","No tiene artículos para comparar."
"You may also be interested in the following product(s)","También pueden interesarle los siguientes productos"
"Zoom In","Acercar"
"Zoom Out","Alejar"
"[GLOBAL]","[GLOBAL]"
"and","y"
"and above","y arriba"
"cache refresh needed","Es necesario refrescar la caché"
"categories","Categorías"
"comma separated","Separado por comas"
"each","Cada"
"ex. http://domain.com","ej. http://dominio.com"
"leave blank if its not an image","Dejar en blanco si no hay una imagen"
"must be in the allowed values list","Debe estar en la lista de valores permitidos"
"per page","por página"
"products","Productos"
"px.","px."
"save","guardar"
"select all","seleccionar todo"
"unselect all","deseleccionar todo"
"x","x"
"Description","Descripción"
"Short Description","Descripción corta"
"Tax Class","Categoria de Impuesto"
"There are no products matching the selection.","No existen productos que cumplan el criterio de seleci&oacute;n"
"Availability:","Disponibilidad:"
"Qty:","Und:"
"Compare Products","Comparar Productos"
"You have no items to compare.","No tienes productos a comparar"
"Site Map","Mapa del site"
"Go to Home Page","Ir a la p&aacute;gina inicial"
"Home","Inicio"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro servicio al cliente es 24x7. Llamenos al 91 1111111"
"Categories","Categor&iacute;as"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
